"RegioS","Perioden","MediaanPersoonlijkInkomen_7","GemiddeldPersoonlijkInkomen_6"
"NL01  ","2011JJ00",6.9,10.6
"NL01  ","2012JJ00",6.8,10.4
"NL01  ","2013JJ00",6.6,10.2
"NL01  ","2014JJ00",6.5,10.1
"NL01  ","2015JJ00",6.6,10.2
"NL01  ","2016JJ00",6.6,10.3
"NL01  ","2017JJ00",6.8,10.7
"NL01  ","2018JJ00",7.1,11.2
"NL01  ","2019JJ00",7.4,11.8
"NL01  ","2020JJ00",7.8,12.4
"NL01  ","2021JJ00",8.4,13
"NL01  ","2022JJ00",9.3,14.1
"NL01  ","2023JJ00",10.7,15.6
"NL01  ","2024JJ00",12.4,17.2
"LD01  ","2011JJ00",6.5,9.7
"LD01  ","2012JJ00",6.4,9.5
"LD01  ","2013JJ00",6.3,9.3
"LD01  ","2014JJ00",6.2,9.2
"LD01  ","2015JJ00",6.3,9.3
"LD01  ","2016JJ00",6.3,9.5
"LD01  ","2017JJ00",6.4,9.8
"LD01  ","2018JJ00",6.7,10.3
"LD01  ","2019JJ00",7,10.9
"LD01  ","2020JJ00",7.6,11.6
"LD01  ","2021JJ00",8.2,12.3
"LD01  ","2022JJ00",9,13.4
"LD01  ","2023JJ00",10.5,14.9
"LD01  ","2024JJ00",12.4,16.6
"LD02  ","2011JJ00",7,10.6
"LD02  ","2012JJ00",6.8,10.4
"LD02  ","2013JJ00",6.6,10.1
"LD02  ","2014JJ00",6.4,10
"LD02  ","2015JJ00",6.6,10.1
"LD02  ","2016JJ00",6.5,10.2
"LD02  ","2017JJ00",6.7,10.5
"LD02  ","2018JJ00",6.9,11.1
"LD02  ","2019JJ00",7.3,11.6
"LD02  ","2020JJ00",7.8,12.3
"LD02  ","2021JJ00",8.5,13
"LD02  ","2022JJ00",9.3,14.2
"LD02  ","2023JJ00",10.8,15.7
"LD02  ","2024JJ00",12.7,17.4
"LD03  ","2011JJ00",7.1,10.8
"LD03  ","2012JJ00",6.9,10.6
"LD03  ","2013JJ00",6.6,10.4
"LD03  ","2014JJ00",6.6,10.3
"LD03  ","2015JJ00",6.7,10.4
"LD03  ","2016JJ00",6.7,10.5
"LD03  ","2017JJ00",6.9,10.9
"LD03  ","2018JJ00",7.1,11.4
"LD03  ","2019JJ00",7.4,12
"LD03  ","2020JJ00",7.8,12.5
"LD03  ","2021JJ00",8.3,13
"LD03  ","2022JJ00",9.1,14.1
"LD03  ","2023JJ00",10.4,15.5
"LD03  ","2024JJ00",12,17
"LD04  ","2011JJ00",6.8,10.5
"LD04  ","2012JJ00",6.7,10.3
"LD04  ","2013JJ00",6.5,10.2
"LD04  ","2014JJ00",6.5,10.1
"LD04  ","2015JJ00",6.7,10.3
"LD04  ","2016JJ00",6.7,10.5
"LD04  ","2017JJ00",7,10.9
"LD04  ","2018JJ00",7.3,11.5
"LD04  ","2019JJ00",7.7,12.1
"LD04  ","2020JJ00",8.1,12.6
"LD04  ","2021JJ00",8.7,13.3
"LD04  ","2022JJ00",9.7,14.5
"LD04  ","2023JJ00",11.2,16
"LD04  ","2024JJ00",13,17.6
"PV20  ","2011JJ00",6.3,9.1
"PV20  ","2012JJ00",6.2,9
"PV20  ","2013JJ00",6.2,8.9
"PV20  ","2014JJ00",6.1,8.8
"PV20  ","2015JJ00",6.2,9
"PV20  ","2016JJ00",6.2,9.1
"PV20  ","2017JJ00",6.3,9.4
"PV20  ","2018JJ00",6.5,9.9
"PV20  ","2019JJ00",6.8,10.4
"PV20  ","2020JJ00",7.3,11
"PV20  ","2021JJ00",7.9,11.8
"PV20  ","2022JJ00",8.4,12.5
"PV20  ","2023JJ00",9.8,14
"PV20  ","2024JJ00",11.9,15.7
"PV21  ","2011JJ00",6.9,10.1
"PV21  ","2012JJ00",6.7,9.9
"PV21  ","2013JJ00",6.5,9.7
"PV21  ","2014JJ00",6.5,9.6
"PV21  ","2015JJ00",6.6,9.7
"PV21  ","2016JJ00",6.6,9.9
"PV21  ","2017JJ00",6.7,10.2
"PV21  ","2018JJ00",7,10.7
"PV21  ","2019JJ00",7.4,11.3
"PV21  ","2020JJ00",7.9,12
"PV21  ","2021JJ00",8.6,12.6
"PV21  ","2022JJ00",9.5,13.8
"PV21  ","2023JJ00",10.9,15.3
"PV21  ","2024JJ00",12.8,17
"PV22  ","2011JJ00",6.4,9.9
"PV22  ","2012JJ00",6.2,9.6
"PV22  ","2013JJ00",6,9.4
"PV22  ","2014JJ00",5.9,9.3
"PV22  ","2015JJ00",6,9.4
"PV22  ","2016JJ00",5.8,9.5
"PV22  ","2017JJ00",6,9.8
"PV22  ","2018JJ00",6.4,10.4
"PV22  ","2019JJ00",7,11.1
"PV22  ","2020JJ00",7.6,11.8
"PV22  ","2021JJ00",8.4,12.7
"PV22  ","2022JJ00",9.4,14
"PV22  ","2023JJ00",11.1,15.6
"PV22  ","2024JJ00",12.8,17.4
"PV23  ","2011JJ00",7.2,10.7
"PV23  ","2012JJ00",7,10.4
"PV23  ","2013JJ00",6.7,10.1
"PV23  ","2014JJ00",6.5,10
"PV23  ","2015JJ00",6.6,10
"PV23  ","2016JJ00",6.5,10.2
"PV23  ","2017JJ00",6.7,10.5
"PV23  ","2018JJ00",7,11
"PV23  ","2019JJ00",7.4,11.5
"PV23  ","2020JJ00",7.9,12.1
"PV23  ","2021JJ00",8.5,12.9
"PV23  ","2022JJ00",9.4,14
"PV23  ","2023JJ00",10.9,15.5
"PV23  ","2024JJ00",12.9,17.4
"PV24  ","2011JJ00",7.2,10.7
"PV24  ","2012JJ00",6.9,10.5
"PV24  ","2013JJ00",6.5,10.1
"PV24  ","2014JJ00",6.4,9.9
"PV24  ","2015JJ00",6.5,10
"PV24  ","2016JJ00",6.5,10.2
"PV24  ","2017JJ00",6.7,10.4
"PV24  ","2018JJ00",7.1,11
"PV24  ","2019JJ00",7.6,11.7
"PV24  ","2020JJ00",7.9,12.2
"PV24  ","2021JJ00",8.7,13
"PV24  ","2022JJ00",9.7,14.3
"PV24  ","2023JJ00",11.1,15.7
"PV24  ","2024JJ00",12.8,17.4
"PV25  ","2011JJ00",6.9,10.6
"PV25  ","2012JJ00",6.7,10.4
"PV25  ","2013JJ00",6.5,10.1
"PV25  ","2014JJ00",6.4,10
"PV25  ","2015JJ00",6.6,10.2
"PV25  ","2016JJ00",6.5,10.3
"PV25  ","2017JJ00",6.6,10.6
"PV25  ","2018JJ00",6.9,11.1
"PV25  ","2019JJ00",7.2,11.7
"PV25  ","2020JJ00",7.8,12.4
"PV25  ","2021JJ00",8.4,13.1
"PV25  ","2022JJ00",9.3,14.2
"PV25  ","2023JJ00",10.7,15.7
"PV25  ","2024JJ00",12.7,17.4
"PV26  ","2011JJ00",6.9,10.6
"PV26  ","2012JJ00",6.7,10.4
"PV26  ","2013JJ00",6.4,10.1
"PV26  ","2014JJ00",6.4,9.9
"PV26  ","2015JJ00",6.5,10.1
"PV26  ","2016JJ00",6.4,10.2
"PV26  ","2017JJ00",6.4,10.4
"PV26  ","2018JJ00",6.6,10.9
"PV26  ","2019JJ00",6.8,11.4
"PV26  ","2020JJ00",7.2,12
"PV26  ","2021JJ00",7.7,12.5
"PV26  ","2022JJ00",8.3,13.5
"PV26  ","2023JJ00",9.6,14.8
"PV26  ","2024JJ00",11.4,16.4
"PV27  ","2011JJ00",7.1,10.6
"PV27  ","2012JJ00",7,10.5
"PV27  ","2013JJ00",6.8,10.3
"PV27  ","2014JJ00",6.7,10.2
"PV27  ","2015JJ00",7,10.4
"PV27  ","2016JJ00",7,10.6
"PV27  ","2017JJ00",7.1,10.9
"PV27  ","2018JJ00",7.3,11.4
"PV27  ","2019JJ00",7.6,12
"PV27  ","2020JJ00",7.8,12.4
"PV27  ","2021JJ00",8.3,12.9
"PV27  ","2022JJ00",9.3,14.1
"PV27  ","2023JJ00",10.5,15.5
"PV27  ","2024JJ00",12.2,17
"PV28  ","2011JJ00",7.1,11
"PV28  ","2012JJ00",6.9,10.7
"PV28  ","2013JJ00",6.6,10.5
"PV28  ","2014JJ00",6.5,10.3
"PV28  ","2015JJ00",6.6,10.4
"PV28  ","2016JJ00",6.6,10.5
"PV28  ","2017JJ00",6.8,10.9
"PV28  ","2018JJ00",7.1,11.4
"PV28  ","2019JJ00",7.4,12
"PV28  ","2020JJ00",7.8,12.5
"PV28  ","2021JJ00",8.3,13.1
"PV28  ","2022JJ00",9.1,14.1
"PV28  ","2023JJ00",10.3,15.5
"PV28  ","2024JJ00",11.9,17
"PV29  ","2011JJ00",7.7,11.8
"PV29  ","2012JJ00",7.6,11.7
"PV29  ","2013JJ00",7.4,11.6
"PV29  ","2014JJ00",7.4,11.6
"PV29  ","2015JJ00",7.5,11.6
"PV29  ","2016JJ00",7.5,11.7
"PV29  ","2017JJ00",7.8,12
"PV29  ","2018JJ00",8.2,12.7
"PV29  ","2019JJ00",8.9,13.5
"PV29  ","2020JJ00",9.6,14.3
"PV29  ","2021JJ00",10.3,15.1
"PV29  ","2022JJ00",11.6,16.4
"PV29  ","2023JJ00",13,18
"PV29  ","2024JJ00",15,19.7
"PV30  ","2011JJ00",7,10.7
"PV30  ","2012JJ00",6.8,10.5
"PV30  ","2013JJ00",6.7,10.4
"PV30  ","2014JJ00",6.7,10.3
"PV30  ","2015JJ00",6.8,10.4
"PV30  ","2016JJ00",6.8,10.6
"PV30  ","2017JJ00",7.1,11
"PV30  ","2018JJ00",7.4,11.6
"PV30  ","2019JJ00",7.8,12.2
"PV30  ","2020JJ00",8.3,12.8
"PV30  ","2021JJ00",8.8,13.5
"PV30  ","2022JJ00",9.8,14.7
"PV30  ","2023JJ00",11.4,16.2
"PV30  ","2024JJ00",13.1,17.9
"PV31  ","2011JJ00",6.4,9.9
"PV31  ","2012JJ00",6.4,9.8
"PV31  ","2013JJ00",6.3,9.7
"PV31  ","2014JJ00",6.3,9.7
"PV31  ","2015JJ00",6.4,9.8
"PV31  ","2016JJ00",6.5,10
"PV31  ","2017JJ00",6.7,10.5
"PV31  ","2018JJ00",7,11.1
"PV31  ","2019JJ00",7.4,11.6
"PV31  ","2020JJ00",7.8,12.1
"PV31  ","2021JJ00",8.3,12.7
"PV31  ","2022JJ00",9.3,13.9
"PV31  ","2023JJ00",10.8,15.4
"PV31  ","2024JJ00",12.5,17
"CR01  ","2011JJ00",6.9,10.1
"CR01  ","2012JJ00",6.7,9.8
"CR01  ","2013JJ00",6.6,9.7
"CR01  ","2014JJ00",6.5,9.6
"CR01  ","2015JJ00",6.3,9.5
"CR01  ","2016JJ00",6.2,9.5
"CR01  ","2017JJ00",6.5,10
"CR01  ","2018JJ00",6.9,10.6
"CR01  ","2019JJ00",7.6,11.5
"CR01  ","2020JJ00",8.4,11.8
"CR01  ","2021JJ00",9.2,13.2
"CR01  ","2022JJ00",10.3,14.5
"CR01  ","2023JJ00",12,16.2
"CR01  ","2024JJ00",13.7,18
"CR02  ","2011JJ00",6.3,9.9
"CR02  ","2012JJ00",6.3,9.8
"CR02  ","2013JJ00",6.2,9.6
"CR02  ","2014JJ00",6.1,9.5
"CR02  ","2015JJ00",6.2,9.7
"CR02  ","2016JJ00",5.8,9.5
"CR02  ","2017JJ00",5.8,10
"CR02  ","2018JJ00",6.5,10.7
"CR02  ","2019JJ00",7.3,11.4
"CR02  ","2020JJ00",7.8,12
"CR02  ","2021JJ00",8.7,13.2
"CR02  ","2022JJ00",9.5,14.4
"CR02  ","2023JJ00",10.9,15.5
"CR02  ","2024JJ00",12.7,17.3
"CR03  ","2011JJ00",6.2,8.9
"CR03  ","2012JJ00",6.1,8.8
"CR03  ","2013JJ00",6.1,8.7
"CR03  ","2014JJ00",6.1,8.6
"CR03  ","2015JJ00",6.2,8.8
"CR03  ","2016JJ00",6.3,9
"CR03  ","2017JJ00",6.3,9.2
"CR03  ","2018JJ00",6.4,9.6
"CR03  ","2019JJ00",6.6,10
"CR03  ","2020JJ00",7.1,10.8
"CR03  ","2021JJ00",7.6,11.3
"CR03  ","2022JJ00",8,12
"CR03  ","2023JJ00",9.4,13.4
"CR03  ","2024JJ00",11.6,15.1
"CR04  ","2011JJ00",7.1,10.2
"CR04  ","2012JJ00",6.9,9.9
"CR04  ","2013JJ00",6.6,9.6
"CR04  ","2014JJ00",6.6,9.6
"CR04  ","2015JJ00",6.8,9.7
"CR04  ","2016JJ00",6.8,9.9
"CR04  ","2017JJ00",7,10.3
"CR04  ","2018JJ00",7.3,10.8
"CR04  ","2019JJ00",7.6,11.4
"CR04  ","2020JJ00",8.1,11.9
"CR04  ","2021JJ00",8.7,12.6
"CR04  ","2022JJ00",9.6,13.8
"CR04  ","2023JJ00",11.1,15.3
"CR04  ","2024JJ00",13.1,17.1
"CR05  ","2011JJ00",6.6,10.1
"CR05  ","2012JJ00",6.5,10
"CR05  ","2013JJ00",6.3,9.8
"CR05  ","2014JJ00",6.2,9.8
"CR05  ","2015JJ00",6.2,9.8
"CR05  ","2016JJ00",6.2,9.9
"CR05  ","2017JJ00",6.4,10.1
"CR05  ","2018JJ00",6.7,10.7
"CR05  ","2019JJ00",7,11.3
"CR05  ","2020JJ00",7.6,12
"CR05  ","2021JJ00",8.1,12.6
"CR05  ","2022JJ00",9.2,13.9
"CR05  ","2023JJ00",10.5,15.2
"CR05  ","2024JJ00",12.5,17.1
"CR06  ","2011JJ00",6.6,10.1
"CR06  ","2012JJ00",6.4,9.7
"CR06  ","2013JJ00",6.3,9.7
"CR06  ","2014JJ00",6.2,9.6
"CR06  ","2015JJ00",6.3,9.7
"CR06  ","2016JJ00",6.2,9.8
"CR06  ","2017JJ00",6.3,10.1
"CR06  ","2018JJ00",6.6,10.5
"CR06  ","2019JJ00",7.2,11.2
